Id,ActualPrice,PredictedPrice
10176,4733,4815.19
16083,6424,7230.75
13420,5510,5332.04
20407,8770,10995.731666666665
8909,4493,4579.09
35890,918,907.97
32334,789,774.37
513,2823,3000.3
27680,18705,15611.71
43597,507,497.0125
47609,1880,1786.21
36246,935,934.79
47546,1872,1790.695
36801,956,914.31
2083,3111,4221.404
26668,16499,14154.616666666665
36732,954,928.86
19772,8342,9220.445
20297,8711,7966.93
52785,2567,2345.5986666666668
411,555,545.77
27597,18445,16452.91
19937,8486,8552.52
37486,984,888.43
34299,858,873.93
49118,2066,2157.16
33940,464,503.06
38915,1052,1003.3
30528,733,734.94
39240,1068,1106.31
13228,5461,6611.026666666667
40260,492,542.32
29234,696,690.11
48104,1935,1928.55
47026,1819,1869.23
40398,1133,1015.4531666666667
23510,11519,11312.5
28550,675,658.91
41595,391,418.93
46599,1786,1767.76
27076,17203,16087.02
28078,662,684.8358333333333
48421,1971,1816.52
10192,4739,3928.68
5113,3759,3623.74
12829,5350,5472.07
42311,1295,1204.69
34007,848,861.3633333333335
27812,650,691.62
33132,816,871.67
45990,1723,1664.11
36140,928,927.23
43143,1389,1353.98
20605,8910,9439.31
9679,4649,3778.1
20809,9038,11766.02
19827,8396,9238.353000000001
89,554,503.08
17434,6989,6133.81
41392,1221,1212.27
12821,5346,5346.99
44093,1555,1429.54
777,2859,2992.04
24907,13342,16112.26
1650,3018,3076.72
51050,2331,2456.05
25712,14616,12474.82
21643,9735,9825.75
27782,648,576.62
9953,4697,5730.01
34581,871,995.83
39883,1103,1083.38
216,2781,2913.32
22997,11051,14506.07
44953,1636,1705.86
20152,8608,8904.76
13718,603,770.49
25286,13939,12843.376666666665
2412,3180,3105.2
43175,1390,1555.93
35780,912,874.01
35285,473,493.68
49001,2050,2152.32
33567,830,800.56
17450,6999,7033.44
18321,7453,7176.87
16286,6516,6634.6466666666665
19387,8056,7538.91
34342,862,852.43
21688,9788,9200.11
30440,730,717.34
46871,1813,1712.91
262,2791,2657.59
34506,868,924.26
45356,1664,1782.1
36312,936,871.14
39484,1079,1111.21
38666,1040,1053.49
23326,11370,11699.78
6784,4113,4076.02
27353,17923,16942.99
52159,2473,2748.49
7460,4234,3953.76
28676,678,745.77
53357,2657,2389.55
7353,4214,3980.03
26329,15837,15470.7
36303,936,934.57
45202,1656,1650.4
6665,4096,5375.88
3440,3387,3242.09
45750,1702,2153.98
15332,6157,5498.33
46306,526,541.6
28428,670,706.96
36994,964,1164.82
40421,1134,1188.89
6621,4084,4754.26
26490,16086,11842.4
36516,945,874.83
26376,15851,15799.06
52689,2552,2678.1625
46379,1763,1751.91
39350,1073,1070.62
22126,10161,9268.96
53783,2728,2882.9
37056,968,926.96
10311,4764,5058.44
1787,3050,2979.72
53174,2630,2792.18
50174,2220,3197.85
918,2879,3796.43
38445,1028,888.72
39279,490,558.07
52191,2479,2440.79
46195,1749,1541.04
3256,3357,2878.76
12584,5281,5437.64
36671,949,1021.41
38227,1017,1057.495
46328,1758,2040.97
26438,15977,14205.15
21207,9352,8638.86
10327,4765,4378.14
43582,1431,1706.26
36837,957,896.36
16971,6777,6577.24
681,2850,2054.55
49088,2061,1780.39
7221,4192,3741.12
6793,4114,3855.13
42060,1270,1279.93
3675,3445,3511.34
44502,1599,2147.73
43073,1378,1621.8
44413,1586,1700.27
6610,4082,3835.75
7769,4284,4154.91
51488,2381,2551.39
5976,3951,4383.25
31944,776,777.86
14802,5956,6126.16
9051,589,572.41
22500,10538,9856.07
39164,1063,979.57
9244,4559,4783.4
9458,4598,5603.71
14334,5805,5685.09
11259,4969,5033.73
15110,6073,5474.9625
30996,747,697.72
35234,894,876.96
24310,12554,12588.38
41796,1250,1420.07
35717,911,904.7066666666666
31067,752,761.65
10129,4719,6877.51
18197,7385,7799.89
42276,505,522.71
19388,8057,8062.71
2895,3282,3319.09
15758,6300,5587.22
12719,600,770.83
17457,7001,7147.12
43789,1441,1383.45
52605,2544,2703.86
51875,2428,2332.9
40779,1167,1248.8
37208,974,967.62
24541,12829,14854.74
18736,7654,6922.45
16810,6704,7434.69
5389,574,555.36
212,2780,2805.04
8805,4475,4127.44
15903,6356,6455.4
38874,1050,1037.62
41519,1235,878.0
7677,4274,4285.09
5111,3759,3816.61
1606,3011,2823.22
24402,12644,12114.95
43501,1422,1727.86
12114,5166,4888.3983333333335
44955,1636,1796.48
3395,567,576.96
47826,1905,2061.81
20007,8545,7888.63
20124,8588,8987.28
22108,10134,11296.12
3372,407,443.82
41018,1186,1162.04
31216,756,753.1
19475,8113,8793.72
16295,6518,5881.14
2808,3264,3182.1
45591,1689,1680.0146666666667
42803,1352,1307.71
4820,3704,3782.38
29680,707,805.75
44495,1599,1676.46
806,2863,2757.03
16838,6716,8581.02
52967,552,559.16
38410,1024,933.17
29094,689,608.33
42650,1333,1308.87
17923,7239,7428.29
40939,500,555.73
19437,8090,7227.89
583,2835,3651.22
6323,4029,4427.79
35021,882,911.41
30520,733,621.12
16504,6597,6438.21
48651,537,603.5
45002,1637,1744.27
6441,4046,3776.23
31529,765,763.47
4500,3629,4108.46
5966,3950,4186.12
36617,477,488.02
10722,593,587.17
35555,906,893.1
51671,2398,2471.66
53379,2661,2827.55
31622,450,465.77
2158,3129,2449.1
1238,2942,3393.94
4456,3620,4245.66
52346,2499,2433.14
27990,658,615.34
23483,11486,13610.72
53224,2639,2547.29
33597,833,840.5925
39147,1061,960.93
1132,2920,2738.05
12677,5306,4725.84
8366,4400,4131.41
49952,540,539.2
10629,4830,4723.07
31214,756,754.04
40838,1172,1096.94
36525,945,929.01
47494,1865,1949.95
3874,3482,3534.73
7302,4203,5650.44
29045,687,748.82
7401,579,584.96
45034,1637,1659.4
12186,5185,4977.86
2497,3197,4318.07
21047,625,626.3
29688,707,715.73
37543,988,1034.08
35644,907,884.68
10060,591,429.98
35206,891,812.2
20010,421,473.46
47969,1919,1906.92
40588,1153,1077.43
2530,3205,3277.54
18154,7357,7008.35
16563,6618,6618.9
31891,776,774.97
42133,1279,1571.52
9069,4518,4404.45
49573,2131,2152.63
11919,5124,4711.42
31395,764,870.28
3064,3311,3427.18
42323,1295,1309.69
